Market,City,y15,y14,y10,y05,y03,,t1yr,t5yr,t10yr,t12yr,,Current,ShortTerm,MidTerm,LongTerm
16340,"Cedartown, GA",-0.94,-0.85,-1.08,-0.88,-1.13,,-0.09,0.15,-0.06,0.2,,-1.68,0.1,-1.24,-0.42
16380,"Celina, OH",-0.72,-0.51,-0.54,-0.81,-0.93,,-0.21,-0.18,0.09,0.21,,-2.43,-1.52,-0.35,-0.3
16420,"Central City, KY",#N/A,#N/A,-1.12,-0.97,-0.94,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
16460,"Centralia, IL",-0.74,-0.76,-0.89,-0.84,-0.93,,0.02,0.14,0.09,0.19,,-0.61,0.16,-0.69,-0.4
16500,"Centralia, WA",-0.34,-0.24,-0.27,-0.28,-0.33,,-0.09,-0.07,-0.06,-0.01,,-1.11,-0.61,-0.43,-0.32
16540,"Chambersburg-Waynesboro, PA",0.13,0.01,0.09,0.16,0.09,,0.12,0.04,-0.03,0.04,,1.11,0.32,0,0.23
16540,"Chambersburg, PA",0.13,0.01,0.09,0.16,0.09,,0.12,0.04,-0.03,0.04,,1.11,0.32,0,0.23
16580,"Champaign-Urbana, IL",0.4,0.41,0.56,1.56,1.46,,-0.02,-0.16,-1.16,-1.06,,0.25,-0.51,-2.18,-1.11
16620,"Charleston, WV",0.7,0.65,0.88,1.62,1.74,,0.05,-0.17,-0.92,-1.04,,1.1,-0.32,-1.29,-0.98
16660,"Charleston-Mattoon, IL",-0.64,-0.47,-0.66,-0.16,-0.45,,-0.17,0.02,-0.48,-0.19,,-2.07,-0.31,-1.81,-0.66
16700,"Charleston-North Charleston, SC",1.35,1.41,1.44,0.37,0.72,,-0.06,-0.1,0.97,0.63,,0.83,0.89,3.69,1.91
16740,"Charlotte-Concord-Gastonia, NC-SC",2.67,2.56,2.25,2.31,2.25,,0.11,0.42,0.36,0.41,,3.59,5.18,3.07,3.32
16740,"Charlotte-Gastonia-Concord, NC-SC",2.67,2.56,2.25,2.31,2.25,,0.11,0.42,0.36,0.41,,3.59,5.18,3.07,3.32
16820,"Charlottesville, VA",0.83,0.83,0.71,0.71,1.11,,-0.01,0.12,0.11,-0.28,,0.74,1.63,0.94,-0.02
16860,"Chattanooga, TN-GA",1.29,1.28,1.3,1.25,1.3,,0.01,-0.01,0.04,-0.01,,1.34,1.31,1.35,1.22
16900,"Chester, SC",#N/A,#N/A,-1.18,-0.93,-1.04,,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
16940,"Cheyenne, WY",0.17,0.18,0.08,-0.32,-0.03,,0,0.1,0.5,0.2,,0.14,0.82,1.21,0.15
16980,"Chicago-Naperville-Elgin, IL-IN-WI",3.83,3.93,4.26,3.25,3.18,,-0.1,-0.43,0.58,0.65,,3.01,1.4,5.58,4.85
16980,"Chicago-Naperville-Joliet, IL-IN-WI",3.83,3.93,4.26,3.25,3.18,,-0.1,-0.43,0.58,0.65,,3.01,1.4,5.58,4.85
17020,"Chico, CA",0.33,0.38,0.64,0.59,0.57,,-0.06,-0.31,-0.26,-0.24,,-0.14,-1.41,0,-0.03
