Market,ENI,City,Area,GDP,PerCapita,Log_GDP,Log_PerCapita
18700,-0.009808001,"Corvallis, OR","Corvallis, OR (Metropolitan Statistical Area)",4376,50234.18128,3.641077313,4.700999328
18740,-1.043911653,"Coshocton, OH",NA,NA,NA,NA,NA
18780,-0.880993037,"Craig, CO",NA,NA,NA,NA,NA
18820,-0.8853913,"Crawfordsville, IN",NA,NA,NA,NA,NA
18860,-1.023557868,"Crescent City, CA",NA,NA,NA,NA,NA
18880,0.614734203,"Crestview-Fort Walton Beach-Destin, FL","Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",11940,46453.90209,4.077004327,4.6670222
18900,-0.664816683,"Crossville, TN",NA,NA,NA,NA,NA
18980,-0.341259333,"Cullman, AL",NA,NA,NA,NA,NA
19000,-0.750894277,"Cullowhee, NC",NA,NA,NA,NA,NA
19060,-0.286022715,"Cumberland, MD-WV","Cumberland, MD-WV (Metropolitan Statistical Area)",2963,29440.11128,3.471731651,4.468939447
19100,3.308181043,"Dallas-Fort Worth-Arlington, TX","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",478572,68906.13675,5.679947286,4.838257902
19140,1.077519773,"Dalton, GA","Dalton, GA (Metropolitan Statistical Area)",5842,40895.18596,3.766561553,4.611672187
19180,-0.492082711,"Danville, IL","Danville, IL (Metropolitan Statistical Area)",2801,35146.49602,3.447313109,4.545882034
19220,-0.782754026,"Danville, KY",NA,NA,NA,NA,NA
19260,-0.35746533,"Danville, VA",NA,NA,NA,NA,NA
19300,0.64215904,"Daphne-Fairhope-Foley, AL","Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",6443,32256.12656,3.809088131,4.508612214
19340,1.077520029,"Davenport-Moline-Rock Island, IA-IL","Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",19383,50480.24335,4.287420996,4.70312144
19380,1.632983865,"Dayton, OH","Dayton, OH (Metropolitan Statistical Area)",38357,47901.58177,4.583844633,4.680349855
19420,-1.335840466,"Dayton, TN",NA,NA,NA,NA,NA
19460,0.250286652,"Decatur, AL","Decatur, AL (Metropolitan Statistical Area)",5510,36005.07077,3.741151599,4.556363669
19500,-0.068206167,"Decatur, IL","Decatur, IL (Metropolitan Statistical Area)",6161,56794.4026,3.789651209,4.754305536
19540,-0.583875452,"Decatur, IN",NA,NA,NA,NA,NA
19580,-0.886733847,"Defiance, OH",NA,NA,NA,NA,NA
19620,-0.835980728,"Del Rio, TX",NA,NA,NA,NA,NA
19660,1.160921678,"Deltona-Daytona Beach-Ormond Beach, FL","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",14340,23493.40743,4.156549151,4.37094601
19700,-1.524238633,"Deming, NM",NA,NA,NA,NA,NA
19740,2.622434545,"Denver-Aurora-Lakewood, CO","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",188174,68366.42345,5.274559617,4.834842861
19760,-1.08372807,"DeRidder, LA",NA,NA,NA,NA,NA
19760,-1.08372807,"De Ridder, LA",NA,NA,NA,NA,NA
19780,1.505881473,"Des Moines-West Des Moines, IA","Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",44686,73028.27259,4.650171481,4.863491028
19820,3.080998013,"Detroit-Warren-Dearborn, MI","Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",233201,54238.94619,5.367730408,4.734311243
19860,-0.388472304,"Dickinson, ND",NA,NA,NA,NA,NA
19940,-1.135942312,"Dixon, IL",NA,NA,NA,NA,NA
19980,-0.819133431,"Dodge City, KS",NA,NA,NA,NA,NA
20020,0.283911765,"Dothan, AL","Dothan, AL (Metropolitan Statistical Area)",4912,33184.48058,3.691258358,4.520935024
20060,-0.966274978,"Douglas, GA",NA,NA,NA,NA,NA
20100,0.086506555,"Dover, DE","Dover, DE (Metropolitan Statistical Area)",6900,40128.17754,3.838849091,4.603449436
20140,-0.755005917,"Dublin, GA",NA,NA,NA,NA,NA
20180,-0.389221991,"DuBois, PA",NA,NA,NA,NA,NA
20220,0.27632511,"Dubuque, IA","Dubuque, IA (Metropolitan Statistical Area)",5378,55683.25361,3.730620798,4.745724603
20260,0.775943085,"Duluth, MN-WI","Duluth, MN-WI (Metropolitan Statistical Area)",12677,45288.42478,4.10301649,4.655987215
20300,-1.042690736,"Dumas, TX",NA,NA,NA,NA,NA
20340,-0.679184719,"Duncan, OK",NA,NA,NA,NA,NA
20380,-0.3162956,"Dunn, NC",NA,NA,NA,NA,NA
20420,0.237952685,"Durango, CO",NA,NA,NA,NA,NA
20460,-0.763679064,"Durant, OK",NA,NA,NA,NA,NA
20500,1.373033396,"Durham-Chapel Hill, NC","Durham-Chapel Hill, NC (Metropolitan Statistical Area)",43242,79694.79999,4.635905772,4.901429985
20540,-1.200509797,"Dyersburg, TN",NA,NA,NA,NA,NA
20580,-0.503532544,"Eagle Pass, TX",NA,NA,NA,NA,NA
20660,-0.100092407,"Easton, MD",NA,NA,NA,NA,NA
20700,0.030563394,"East Stroudsburg, PA","East Stroudsburg, PA (Metropolitan Statistical Area)",5427,32458.71636,3.734559822,4.511331341
20740,0.492253037,"Eau Claire, WI","Eau Claire, WI (Metropolitan Statistical Area)",7680,46502.89735,3.88536122,4.667480012
20780,0.456259545,"Edwards, CO",NA,NA,NA,NA,NA
20820,-0.622429383,"Effingham, IL",NA,NA,NA,NA,NA
20900,-0.960240649,"El Campo, TX",NA,NA,NA,NA,NA
20940,0.228760554,"El Centro, CA","El Centro, CA (Metropolitan Statistical Area)",5933,33170.08263,3.773274348,4.520746553
20980,-0.636293123,"El Dorado, AR",NA,NA,NA,NA,NA
21020,-0.90698458,"Elizabeth City, NC",NA,NA,NA,NA,NA
21060,-0.111584331,"Elizabethtown-Fort Knox, KY","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",5969,39277.48898,3.775901579,4.594143715
21120,-0.7809023,"Elk City, OK",NA,NA,NA,NA,NA
21140,1.990164051,"Elkhart-Goshen, IN","Elkhart-Goshen, IN (Metropolitan Statistical Area)",13169,65319.50459,4.119552798,4.815042882
21180,-1.039679699,"Elkins, WV",NA,NA,NA,NA,NA
21220,-0.167043055,"Elko, NV",NA,NA,NA,NA,NA
21260,-0.516255207,"Ellensburg, WA",NA,NA,NA,NA,NA
21300,-0.133589265,"Elmira, NY","Elmira, NY (Metropolitan Statistical Area)",3381,38637.35058,3.529045171,4.587007339
21340,1.446130704,"El Paso, TX","El Paso, TX (Metropolitan Statistical Area)",27567,32918.45437,4.440389506,4.517439435
21380,-0.787900129,"Emporia, KS",NA,NA,NA,NA,NA
21420,-0.299095998,"Enid, OK","Enid, OK (Metropolitan Statistical Area)",3213,51130.66726,3.506910726,4.70868146
21460,-0.73915696,"Enterprise, AL",NA,NA,NA,NA,NA
21460,-0.73915696,"Enterprise-Ozark, AL",NA,NA,NA,NA,NA
21500,0.887564274,"Erie, PA","Erie, PA (Metropolitan Statistical Area)",10598,37951.52032,4.025223915,4.579229178
21540,-0.619637306,"Escanaba, MI",NA,NA,NA,NA,NA
21580,-0.655096097,"Espanola, NM",NA,NA,NA,NA,NA
21660,1.212459797,"Eugene-Springfield, OR","Eugene, OR (Metropolitan Statistical Area)",13588,37908.50403,4.133155538,4.578736646
21700,0.299448008,"Eureka-Arcata-Fortuna, CA",NA,NA,NA,NA,NA
21740,-0.900717125,"Evanston, WY",NA,NA,NA,NA,NA
21780,0.960901589,"Evansville, IN-KY","Evansville, IN-KY (Metropolitan Statistical Area)",16987,53888.15044,4.230116687,4.731493278
21820,0.309671572,"Fairbanks, AK","Fairbanks, AK (Metropolitan Statistical Area)",5466,55048.08903,3.737669627,4.740742247
21840,-0.417716614,"Fairfield, IA",NA,NA,NA,NA,NA
21900,-0.51434938,"Fairmont, WV",NA,NA,NA,NA,NA
21980,-1.122077316,"Fallon, NV",NA,NA,NA,NA,NA
22020,0.831307309,"Fargo, ND-MN","Fargo, ND-MN (Metropolitan Statistical Area)",14842,64976.22821,4.171492427,4.812754497
